num_modules,num_memory_regions,num_private_regions,num_executable_regions,num_rw_regions,num_rx_regions,num_threads,num_handles,cpu_usage,working_set_mb,private_bytes_mb,io_read_mb,io_write_kb,entropy_mean,entropy_max,has_mz_header,has_pe_header,cross_process_writes_count,api_writeprocessmemory_count,api_createremotethread_count,ntqueueapc_present
342,4955,292,6,286,6,29,1281,0.0,464.92,321.39,58.254,491.6224,1.9011,5.7468,0,0,4,17,0,1
41,510,56,0,56,0,7,200,0.0,31.36,10.59,0.0002,0.1024,-1.0,-1.0,0,0,1,4,0,1
71,1235,233,1,232,1,33,530,0.0,94.53,82.3,5.0023,765.0304,0.5816,0.5816,0,0,1,4,0,1
51,792,133,0,133,0,18,349,0.0,47.93,12.96,1.1188,1637.7856,-1.0,-1.0,0,0,1,4,0,1
41,1271,380,5,375,5,17,359,0.0,115.35,60.73,28.5615,8895.488,1.3133,5.6747,0,0,1,4,0,1
48,430,32,0,32,0,2,191,0.0,16.17,3.62,0.2776,29.3888,-1.0,-1.0,0,0,1,4,0,1
89,1229,161,6,155,6,14,393,0.0,65.8,22.99,3.0058,3055.0016,2.0544,5.6715,0,0,1,4,0,1
84,1167,120,22,98,22,7,380,0.0,46.7,35.43,0.9154,1.6384,2.9256,5.2984,0,0,1,4,0,1
89,1191,142,6,136,6,14,373,0.0,62.16,20.96,2.9951,3043.9424,1.995,5.5941,0,0,1,4,0,1
89,1207,150,6,144,6,14,383,0.0,61.98,19.55,12.1186,12377.3952,2.0582,5.6947,0,0,1,4,0,1
40,413,42,1,41,1,7,172,0.0,20.44,21.98,0.0003,15.6672,0.373,0.373,0,0,1,4,0,1
118,3844,1242,0,1242,0,43,1435,0.0,194.69,88.8,121.3899,97931.5712,-1.0,-1.0,0,0,3,4,0,1
23,408,72,0,72,0,7,172,0.0,8.46,2.24,0.0058,0.1024,-1.0,-1.0,0,0,1,4,0,1
46,1150,283,0,283,0,21,365,0.0,44.75,16.93,5.775,15307.3664,-1.0,-1.0,0,0,1,5,0,1
49,1135,190,3,187,3,11,330,0.0,58.73,16.3,61.0225,1567.6416,1.1717,1.481,0,0,1,4,0,1
